,sp_name,sp_artist,sp_url,year,popularity,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,bbd
8096,Big Daddy,Heavy D & The Boyz,https://open.spotify.com/track/2BdjYM0e7HaNeBtF98sXFw,1997,39,0.10099999999999999,https://api.spotify.com/v1/audio-analysis/2BdjYM0e7HaNeBtF98sXFw,0.841,234000,0.5770000000000001,2BdjYM0e7HaNeBtF98sXFw,0.0,10,0.0659,-7.525,0,0.41,89.389,4,https://api.spotify.com/v1/tracks/2BdjYM0e7HaNeBtF98sXFw,audio_features,spotify:track:2BdjYM0e7HaNeBtF98sXFw,0.64,1
8097,What About Us - Remix; feat. Black Rob,Total,https://open.spotify.com/track/6Ph7bndA7A5ExoHIZPX4TJ,1997,38,0.0143,https://api.spotify.com/v1/audio-analysis/6Ph7bndA7A5ExoHIZPX4TJ,0.736,243783,0.721,6Ph7bndA7A5ExoHIZPX4TJ,0.0,1,0.0451,-6.188,1,0.0396,96.365,4,https://api.spotify.com/v1/tracks/6Ph7bndA7A5ExoHIZPX4TJ,audio_features,spotify:track:6Ph7bndA7A5ExoHIZPX4TJ,0.72,1
8098,Smile,Scarface,https://open.spotify.com/track/2wxO3ZydJTZRi4Bbc02q7i,1997,60,0.0498,https://api.spotify.com/v1/audio-analysis/2wxO3ZydJTZRi4Bbc02q7i,0.7,300600,0.402,2wxO3ZydJTZRi4Bbc02q7i,1.04e-06,5,0.16,-9.93,0,0.278,77.87100000000001,4,https://api.spotify.com/v1/tracks/2wxO3ZydJTZRi4Bbc02q7i,audio_features,spotify:track:2wxO3ZydJTZRi4Bbc02q7i,0.499,1
8099,What's On Tonight,Montell Jordan,https://open.spotify.com/track/1q3C05jegoKRuU1biZtVxv,1997,43,0.33,https://api.spotify.com/v1/audio-analysis/1q3C05jegoKRuU1biZtVxv,0.826,276653,0.447,1q3C05jegoKRuU1biZtVxv,3.2e-06,5,0.126,-11.535,1,0.0442,111.806,4,https://api.spotify.com/v1/tracks/1q3C05jegoKRuU1biZtVxv,audio_features,spotify:track:1q3C05jegoKRuU1biZtVxv,0.434,1
8100,Secret Garden,Bruce Springsteen,https://open.spotify.com/track/68uuz61IqrSJjO6ffO3yHc,1997,60,0.5760000000000001,https://api.spotify.com/v1/audio-analysis/68uuz61IqrSJjO6ffO3yHc,0.52,266613,0.32899999999999996,68uuz61IqrSJjO6ffO3yHc,0.0418,0,0.12,-14.224,1,0.0266,86.85700000000001,4,https://api.spotify.com/v1/tracks/68uuz61IqrSJjO6ffO3yHc,audio_features,spotify:track:68uuz61IqrSJjO6ffO3yHc,0.11800000000000001,1
8101,"Keep On, Keepin' On (feat. Xscape)",MC Lyte,https://open.spotify.com/track/42aZFX1bcCDj75ue0KoNSd,1996,44,0.24,https://api.spotify.com/v1/audio-analysis/42aZFX1bcCDj75ue0KoNSd,0.875,271440,0.63,42aZFX1bcCDj75ue0KoNSd,0.00011,1,0.0742,-6.015,0,0.114,91.04299999999999,4,https://api.spotify.com/v1/tracks/42aZFX1bcCDj75ue0KoNSd,audio_features,spotify:track:42aZFX1bcCDj75ue0KoNSd,0.733,1
8102,Jealousy,Natalie Merchant,https://open.spotify.com/track/3qcVyKUKAOfBoQJsxHfhmW,1996,42,0.29600000000000004,https://api.spotify.com/v1/audio-analysis/3qcVyKUKAOfBoQJsxHfhmW,0.723,161533,0.521,3qcVyKUKAOfBoQJsxHfhmW,0.0406,0,0.0998,-9.78,1,0.027999999999999997,101.12700000000001,4,https://api.spotify.com/v1/tracks/3qcVyKUKAOfBoQJsxHfhmW,audio_features,spotify:track:3qcVyKUKAOfBoQJsxHfhmW,0.61,1
8103,I Want To Come Over,Melissa Etheridge,https://open.spotify.com/track/7tOEXhPdFosbBcQrAISAfl,1996,44,0.0631,https://api.spotify.com/v1/audio-analysis/7tOEXhPdFosbBcQrAISAfl,0.537,324667,0.488,7tOEXhPdFosbBcQrAISAfl,0.00295,9,0.10800000000000001,-9.874,1,0.0316,113.796,4,https://api.spotify.com/v1/tracks/7tOEXhPdFosbBcQrAISAfl,audio_features,spotify:track:7tOEXhPdFosbBcQrAISAfl,0.5379999999999999,1
8104,Who Do U Love,Deborah Cox,https://open.spotify.com/track/54lhKZ69xX8TeHRgWNU3rU,1996,39,0.163,https://api.spotify.com/v1/audio-analysis/54lhKZ69xX8TeHRgWNU3rU,0.69,262933,0.888,54lhKZ69xX8TeHRgWNU3rU,2.25e-05,6,0.659,-5.781000000000001,0,0.18600000000000003,87.91799999999999,4,https://api.spotify.com/v1/tracks/54lhKZ69xX8TeHRgWNU3rU,audio_features,spotify:track:54lhKZ69xX8TeHRgWNU3rU,0.6859999999999999,1
8105,This Is Your Night,Amber,https://open.spotify.com/track/5p0rUHicpwMZil8RlNGGth,1996,52,0.0714,https://api.spotify.com/v1/audio-analysis/5p0rUHicpwMZil8RlNGGth,0.674,238160,0.9079999999999999,5p0rUHicpwMZil8RlNGGth,0.00010400000000000001,9,0.121,-3.262,0,0.0325,127.99,4,https://api.spotify.com/v1/tracks/5p0rUHicpwMZil8RlNGGth,audio_features,spotify:track:5p0rUHicpwMZil8RlNGGth,0.861,1
