,ranking,artist,song,year
96,90.0,Sage The Gemini Featuring IamSu,Gas Pedal,2013
97,91.0,Lady Gaga,Venus,2013
98,92.0,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",2013
99,93.0,Ace Hood Featuring Future & Rick Ross,Bugatti,2013
100,94.0,The Neighbourhood,Sweater Weather,2013
101,95.0,Tyler Farr,Redneck Crazy,2013
102,96.0,Krewella,Alive,2013
103,97.0,Sara Bareilles,Brave,2013
104,8.0,Nicki Minaj,Super Bass,2011
105,9.0,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,2011
106,10.0,The Black Eyed Peas,Just Can’t Get Enough,2011
107,11.0,Jennifer Lopez feat. Pitbull,On The Floor,2011
108,12.0,Rihanna,S&M,2011
109,13.0,Foster The People,Pumped Up Kicks,2011
110,98.0,The FiNATTiCZ,Don’t Drop That Thun Thun!,2013
111,99.0,Justin Timberlake,TKO,2013
112,100.0,Big Sean Featuring Lil Wayne & Jhene Aiko ,"
100.    Big Sean Featuring Lil Wayne & Jhene Aiko –",2013
113,14.0,Katy Perry,Last Friday Night (T.G.I.F.),2011
114,15.0,Bruno Mars,Just The Way You Are,2011
115,16.0,Enrique Iglesias feat. Ludacris & DJ Frank E,Tonight (I’m Lovin’ You),2011
116,17.0,P!Nk,Raise Your Glass,2011
117,18.0,Lady Gaga,Born This Way,2011
118,19.0,P!Nk,F**Kin’ Perfect,2011
119,20.0,Rihanna feat. Drake,What’s My Name?,2011
120,21.0,Chris Brown feat. Lil Wayne & Busta Rhymes,Look At Me Now,2011
121,22.0,Jeremih feat. 50 Cent,Down On Me,2011
122,23.0,Lil Wayne,How To Love,2011
123,24.0,Adele,Someone Like You,2011
124,25.0,OneRepublic,Good Life,2011
125,26.0,Bruno Mars,The Lazy Song,2011
126,27.0,Britney Spears,Till The World Ends,2011
127,28.0,Lupe Fiasco,The Show Goes On,2011
128,29.0,Lady Gaga,The Edge Of Glory,2011
129,30.0,Ke$Ha,We R Who We R,2011
130,31.0,Wiz Khalifa,Black And Yellow,2011
131,32.0,Hot Chelle Rae,Tonight Tonight,2011
132,33.0,Ke$Ha,Blow,2011
133,34.0,Bad Meets Evil feat. Bruno Mars,Lighters,2011
134,35.0,The Band Perry,If I Die Young,2011
135,36.0,Gym Class Heroes feat. Adam Levine,Stereo Hearts,2011
136,37.0,The Black Eyed Peas,The Time (Dirty Bit),2011
137,38.0,Diddy – Dirty Money feat. Skylar Grey,Coming Home,2011
138,39.0,Pitbull feat. T-Pain,Hey Baby (Drop It To The Floor),2011
139,40.0,Rihanna,Only Girl (In The World),2011
140,41.0,Lil Wayne feat. Cory Gunz,6 Foot 7 Foot,2011
141,42.0,Lady Antebellum,Just A Kiss,2011
142,43.0,Jason Aldean,Dirt Road Anthem,2011
143,44.0,Taio Cruz,Dynamite,2011
144,45.0,Waka Flocka Flame feat. Roscoe Dash & Wale,No Hands,2011
145,46.0,Britney Spears,I Wanna Go,2011
146,47.0,"DJ Khaled feat. Drake, Rick Ross & Lil Wayne",I’m On One,2011
147,48.0,Cobra Starship feat. Sabi,You Make Me Feel…,2011
148,49.0,Chris Brown,Yeah 3x,2011
149,50.0,Nicki Minaj feat. Drake,Moment 4 Life,2011
150,51.0,Dr. Dre feat. Eminem & Skylar Grey,I Need A Doctor,2011
151,52.0,Nelly,Just A Dream,2011
152,53.0,Kelly Rowland feat. Lil Wayne,Motivation,2011
153,54.0,Edward Maya & Vika Jigulina,Stereo Love,2011
154,55.0,Christina Perri,Jar Of Hearts,2011
155,56.0,Wiz Khalifa,Roll Up,2011
156,57.0,LMFAO,Sexy And I Know It,2011
157,58.0,Far*East Movement feat. Ryan Tedder,Rocketeer,2011
158,59.0,Kanye West,All Of The Lights,2011
159,60.0,Britney Spears,Hold It Against Me,2011
160,61.0,Usher,More,2011
161,62.0,Avril Lavigne,What The Hell,2011
162,63.0,Tinie Tempah feat. Eric Turner,Written In The Stars,2011
163,64.0,Trey Songz feat. Nicki Minaj,Bottoms Up,2011
164,65.0,Usher feat. Pitbull,DJ Got Us Fallin’ In Love,2011
165,66.0,The Script,For The First Time,2011
166,67.0,Blake Shelton,Honey Bee,2011
167,68.0,Jason Aldean With Kelly Clarkson,Don’t You Wanna Stay,2011
168,69.0,Rihanna feat. Calvin Harris,We Found Love,2011
169,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
170,1.0,Gotye feat. Kimbra,Somebody That I Used To Know,2012
171,2.0,Carly Rae Jepsen,Call Me Maybe,2012
172,3.0,fun. feat. Janelle Monae,We Are Young,2012
173,4.0,Maroon 5 feat. Wiz Khalifa,Payphone,2012
174,5.0,Ellie Goulding,Lights,2012
175,6.0,The Wanted,Glad You Came,2012
176,1.0,Ed Sheeran,Shape Of You,2017
177,70.0,Keri Hilson,Pretty Girl Rock,2011
178,71.0,Lady Gaga,You And I,2011
179,72.0,Far*East Movement feat. Cataracs & Dev,Like A G6,2011
180,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
181,7.0,Kelly Clarkson,Stronger (What Doesn’t Kill You),2012
182,8.0,Rihanna feat. Calvin Harris,We Found Love,2012
183,9.0,Nicki Minaj,Starships,2012
184,10.0,One Direction,What Makes You Beautiful,2012
185,11.0,Flo Rida feat. Sia,Wild Ones,2012
186,12.0,Adele,Set Fire To The Rain,2012
187,13.0,LMFAO,Sexy And I Know It,2012
188,14.0,fun.,Some Nights,2012
189,2.0,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,2017
190,73.0,David Guetta feat. Usher,Without You,2011
