,ranking,artist,song,year
1520,38.0,Vicki Sue Robinson,Turn The Beat Around,1976
1521,39.0,Captain and Tennille,Lonely Night (Angel Face),1976
1522,40.0,Eric Carmen,All By Myself,1976
1523,41.0,Donna Summer,Love To Love You Baby,1976
1524,42.0,Donny and Marie Osmond,Deep Purple,1976
1525,53.0,Glenn Yarbrough,Baby The Rain Must Fall,1965
1526,54.0,Dave Clark Five,Catch Us If You Can,1965
1527,55.0,Beatles,Eight Days A Week,1965
1528,56.0,Beau Brummels,Just A Little,1965
1529,57.0,Ian Whitcomb,You Turn Me On,1965
1530,58.0,Marvin Gaye,I’ll Be Doggone,1965
1531,59.0,Gary Lewis and The Playboys,Save Your Heart For Me,1965
1532,60.0,Kinks,Tired Of Waiting For You,1965
1533,61.0,Gary Lewis and The Playboys,Count Me In,1965
1534,53.0,Yo Gotti Featuring Nicki Minaj,Rake It Up,2017
1535,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1536,74.0,Brooklyn Bridge,Worst That Could Happen,1969
1537,75.0,Joe Simon,Chokin’ Kind,1969
1538,76.0,Flying Machine,Smile A Little Smile For Me,1969
1539,77.0,Tony Joe White,Polk Salad Annie,1969
1540,78.0,Kenny Rogers and The First Edition,"Ruby, Don’t Take Your Love To Town",1969
1541,82.0,Marvin Gaye and Tammi Terrell,You’re All I Need To Get By,1968
1542,83.0,Foundations,"Baby, Now That I’ve Found You",1968
1543,84.0,Sweet Inspirations,Sweet Inspiration,1968
1544,85.0,Smokey Robinson and The Miracles,If You Can Want,1968
1545,86.0,Mills Brothers,Cab Driver,1968
1546,58.0,Five Americans,Western Union,1967
1547,59.0,Aretha Franklin,Baby I Love You,1967
1548,60.0,Monkees,"A Little Bit You, A Little Bit Me",1967
1549,61.0,Lesley Gore,California Nights,1967
1550,62.0,Mama’s and The Papa’s,Dedicated To The One I Love,1967
1551,63.0,Young Rascals,How Can I Be Sure,1967
1552,51.0,Stan Getz and Astrud Gilberto,The Girl From Ipanema,1964
1553,52.0,Beatles,Can’t Buy Me Love,1964
1554,53.0,Shangri-Las,Remember (Walkin’ In The Sand),1964
1555,54.0,Bobby Freeman,C’mon And Swim,1964
1556,56.0,Simon and Garfunkel,Homeward Bound,1966
1557,57.0,Lovin’ Spoonful,Did You Ever Have To Make Up Your Mind?,1966
1558,58.0,Robert Parker,Barefootin’,1966
1559,59.0,Stevie Wonder,Uptight (Everything’s Alright),1966
1560,60.0,Cher,Bang Bang,1966
1561,61.0,Beach Boys,Sloop John B,1966
1562,62.0,Rolling Stones,19th Nervous Breakdown,1966
1563,63.0,The Surfaris,Wipe Out,1966
1564,43.0,Diana Ross,Theme From “Mahogany”,1976
1565,44.0,Rufus,Sweet Thing,1976
1566,45.0,K.C. and The Sunshine Band,That’s The Way I Like It,1976
1567,46.0,Dr. Hook,A Little Bit More,1976
1568,47.0,Henry Gross,Shannon,1976
1569,48.0,Chicago,If You Leave Me Now,1976
1570,49.0,Boz Scaggs,Lowdown,1976
1571,62.0,Kinks,All Day And All Of The Night,1965
1572,63.0,Jackie DeShannon,What The World Needs Now Is Love,1965
1573,54.0,Shawn Mendes,Mercy,2017
1574,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1575,79.0,Joe South,Games People Play,1969
1576,80.0,Turtles,You Showed Me,1969
1577,81.0,Cuff Links,Tracy,1969
1578,82.0,Dells,"Oh, What A Night",1969
1579,83.0,Beatles,Something,1969
1580,84.0,Gary Puckett and The Union Gap,This Girl Is A Woman Now,1969
1581,85.0,Beatles,Come Together,1969
1582,87.0,Chambers Brothers,Time Has Come Today,1968
1583,88.0,Dionne Warwick,Do You Know The Way To San Jose,1968
1584,89.0,Simon and Garfunkel,Scarborough Fair / Canticle,1968
1585,90.0,James Brown and The Famous Flames,Say It Loud I’m Black And I’m Proud,1968
1586,91.0,Manfred Mann,The Mighty Quinn,1968
1587,92.0,Shorty Long,Here Comes The Judge,1968
1588,93.0,Aretha Franklin,I Say A Little Prayer,1968
1589,94.0,Aretha Franklin,Think,1968
1590,95.0,Gary Lewis and The Playboys,Sealed With A Kiss,1968
1591,64.0,Hollies,Carrie Ann,1967
1592,65.0,Blue Magoos,(We Ain’t Got) Nothin’ Yet,1967
1593,66.0,Easy Beats,Friday On My Mind,1967
1594,55.0,Beatles,Do You Want To Know A Secret,1964
1595,56.0,Impressions,Keep On Pushing,1964
1596,57.0,Four Tops,Baby I Need Your Loving,1964
1597,58.0,Diane Renay,Navy Blue,1964
1598,59.0,Bachelors,Diane,1964
1599,60.0,Marketts,Out Of Limits,1964
1600,61.0,Hondells,Little Honda,1964
1601,64.0,Count Five,Psychotic Reaction,1966
1602,65.0,Temptations,Beauty Is Only Skin Deep,1966
1603,66.0,T-Bones,No Matter What Shape (Your Stomach Is In),1966
1604,67.0,Paul Revere and The Raiders,Just Like Me,1966
1605,68.0,Deon Jackson,Love Makes The World Go Round,1966
1606,69.0,Crispian St. Peters,The Pied Piper,1966
1607,70.0,Brenda Lee,Coming On Strong,1966
1608,71.0,Ray Conniff and The Singers,Somewhere My Love,1966
1609,72.0,David Houston,Almost Persuaded,1966
1610,73.0,Bobby Darin,If I Were A Carpenter,1966
1611,1.0,Captain and Tennille,Love Will Keep Us Together,1975
1612,2.0,Glen Campbell,Rhinestone Cowboy,1975
1613,3.0,Elton John,Philadelphia Freedom,1975
1614,4.0,Freddy Fender,Before The Next Teardrop Falls,1975
1615,1.0,Knack,My Sharona,1979
1616,1.0,Andy Gibb,Shadow Dancing,1978
1617,2.0,Bee Gees,Night Fever,1978
1618,3.0,Debby Boone,You Light Up My Life,1978
1619,4.0,Bee Gees,Stayin’ Alive,1978
1620,1.0,Bobby Lewis,Tossin’ And Turnin’,1961
1621,2.0,Patsy Cline,I Fall To Pieces,1961
1622,3.0,Highwaymen,Michael,1961
1623,4.0,Roy Orbison,Cryin’,1961
1624,5.0,Del Shannon,Runaway,1961
1625,6.0,Jive Five,My True Story,1961
1626,1.0,Mr. Acker Bilk,Stranger On The Shore,1962
1627,2.0,Ray Charles,I Can’t Stop Loving You,1962
1628,50.0,Peter Frampton,Show Me The Way,1976
1629,51.0,Aerosmith,Dream On,1976
1630,52.0,O’Jays,I Love Music (Pt. 1),1976
1631,53.0,Fleetwood Mac,Say You Love Me,1976
1632,54.0,Paul Anka,Times Of Your Life,1976
1633,55.0,Cliff Richard,Devil Woman,1976
1634,1.0,Percy Faith,Theme From “A Summer Place”,1960
1635,2.0,Jim Reeves,He’ll Have To Go,1960
1636,1.0,Jimmy Gilmer and The Fireballs,Sugar Shack,1963
1637,64.0,Tom Jones,It’s Not Unusual,1965
1638,65.0,Sir Douglas Quintet,She’s About A Mover,1965
1639,66.0,Sam Cooke,Shake,1965
1640,67.0,Herman’s Hermits,Wonderful World,1965
1641,68.0,Martha and The Vandellas,Nowhere To Run,1965
1642,69.0,Yardbirds,Heart Full Of Soul,1965
1643,70.0,Searchers,Love Potion Number Nine,1965
1644,71.0,Dickle Lee,Laurie (Strange Things Happen),1965
1645,1.0,Rod Stewart,Tonight’s The Night (Gonna Be Alright),1977
1646,55.0,Kodak Black,Tunnel Vision,2017
1647,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1648,86.0,Seger System,Ramblin’ Gamblin’ Man Bob,1969
1649,87.0,Diana Ross and The Supremes,I’m Gonna Make You Love Me,1969
1650,88.0,Marvin Gaye,I Heard It Through The Grapevine,1969
1651,89.0,Crazy Elephant,Gimme Gimme Good Lovin’,1969
1652,90.0,Booker T and The MG’s,Hang ‘Em High,1969
1653,91.0,Lou Rawls,Your Good Thing (Is About To End),1969
1654,92.0,Originals,Baby I’m For Real,1969
1655,93.0,Edwin Hawkins Singers,Oh Happy Day,1969
1656,94.0,Tom Jones,Love Me Tonight,1969
1657,96.0,Big Brother and The Holding Company,Piece Of My Heart,1968
1658,97.0,Creedence Clearwater Revival,Suzie Q.,1968
1659,98.0,American Breed,Bend Me Shape,1968
1660,99.0,Jerry Butler,"Hey, Western Union Man",1968
1661,100.0,Jerry Butler,Never Give You Up,1968
1662,67.0,Bar-Kays,Soul Finger,1967
1663,68.0,Spencer Davis Group,Gimme Some Lovin’,1967
1664,69.0,Hombres,Let It Out (Let It All Hang Out),1967
1665,70.0,Grass Roots,Let’s Live For Today,1967
1666,71.0,Peaches and Herb,Close Your Eyes,1967
1667,72.0,Booker T and The MG’s,Groovin’,1967
1668,62.0,Bobby Goldsboro,See The Funny Little Clown,1964
1669,63.0,Dave Clark Five,Because,1964
1670,64.0,Reflections,(Just Like) Romeo And Juliet,1964
1671,65.0,Rick Nelson,For You,1964
1672,66.0,New Christy Minstrels,Today,1964
1673,67.0,Dave Clark Five,Can’t You See That She’s Mine,1964
1674,68.0,Shangri-Las,Leader Of The Pack,1964
1675,69.0,Joe Hinton,Funny,1964
1676,70.0,Temptations,The Way You Do The Things You Do,1964
1677,74.0,Marvelettes,Don’t Mess With Bill,1966
1678,75.0,Neil Diamond,"Cherry, Cherry",1966
1679,76.0,Lee Dorsey,Working In The Coal Mine,1966
1680,77.0,Dionne Warwick,Message To Michael,1966
1681,78.0,Lou Rawls,Love Is A Hurtin’ Thing,1966
1682,79.0,Beach Boys,Barbara Ann,1966
1683,5.0,Frankie Valli,My Eyes Adored You,1975
1684,6.0,"Earth, Wind and Fire",Shining Star,1975
1685,7.0,David Bowie,Fame,1975
1686,8.0,Neil Sedaka,Laughter In The Rain,1975
1687,9.0,Eagles,One Of These Nights,1975
1688,10.0,John Denver,Thank God I’m A Country Boy,1975
1689,11.0,Bee Gees,Jive Talkin’,1975
1690,12.0,Eagles,Best Of My Love,1975
1691,13.0,Minnie Riperton,Lovin’ You,1975
1692,14.0,Carl Douglas,Kung Fu Fighting,1975
1693,2.0,Donna Summer,Bad Girls,1979
1694,3.0,Chic,Le Freak,1979
1695,4.0,Rod Stewart,Da Ya Think I’m Sexy,1979
1696,5.0,Peaches and Herb,Reunited,1979
1697,6.0,Gloria Gaynor,I Will Survive,1979
1698,7.0,Donna Summer,Hot Stuff,1979
1699,8.0,Village People,Y.M.C.A.,1979
1700,9.0,Anita Ward,Ring My Bell,1979
1701,5.0,Exile,Kiss You All Over,1978
1702,6.0,Bee Gees,How Deep Is Your Love,1978
1703,7.0,Player,Baby Come Back,1978
1704,8.0,Andy Gibb,(Love Is) Thicker Than Water,1978
1705,9.0,A Taste Of Honey,Boogie Oogie Oogie,1978
1706,10.0,Commodores,Three Times A Lady,1978
1707,11.0,Frankie Valli,Grease,1978
1708,12.0,Paul Davis,I Go Crazy,1978
1709,7.0,Chubby Checker,Pony Time,1961
1710,8.0,String-a-longs,Wheels,1961
1711,9.0,Dee Clark,Raindrops,1961
1712,10.0,Joe Dowell,Wooden Heart (Muss I Denn),1961
1713,11.0,Lawrence Welk,Calcutta,1961
1714,12.0,Bobby Vee,Take Good Care Of My Baby,1961
1715,13.0,Roy Orbison,Running Scared,1961
1716,14.0,The Shirelles,Dedicated To The One I Love,1961
1717,15.0,Mar-keys,Last Night,1961
1718,16.0,Shirelles,(Will You Love Me) Tomorrow,1961
1719,3.0,Dee Dee Sharp,Mashed Potato Time,1962
1720,4.0,Bobby Vinton,Roses Are Red,1962
1721,5.0,David Rose,The Stripper,1962
1722,6.0,Shelley Fabares,Johnny Angel,1962
1723,7.0,Little Eva,The Loco-Motion,1962
1724,56.0,Elvin Bishop,Fooled Around And Fell In Love,1976
1725,57.0,C.W. McCall,Convoy,1976
1726,58.0,John Sebastian,Welcome Back,1976
1727,59.0,"Earth, Wind and Fire",Sing A Song,1976
1728,60.0,Tavares,Heaven Must Be Missing An Angel,1976
1729,3.0,Everly Brothers,Cathy’s Clown,1960
1730,4.0,Johnny Preston,Running Bear,1960
1731,5.0,Mark Dinning,Teen Angel,1960
1732,2.0,Beach Boys,Surfin’ U.S.A.,1963
1733,3.0,Skeeter Davis,The End Of The World,1963
1734,4.0,Cascades,Rhythm Of The Rain,1963
1735,5.0,Chiffons,He’s So Fine,1963
1736,6.0,Bobby Vinton,Blue Velvet,1963
1737,72.0,Sonny and Cher,Baby Don’t Go,1965
1738,73.0,Turtles,It Ain’t Me Babe,1965
1739,74.0,Zombies,Tell Her No,1965
1740,75.0,Peter and Gordon,I Go To Pieces,1965
1741,76.0,Vic Dana,Red Roses For A Blue Lady,1965
1742,77.0,Patty Duke,Don’t Just Stand There,1965
1743,78.0,Miracles,The Tracks Of My Tears,1965
1744,79.0,Brenda Lee,Too Many Rivers,1965
1745,80.0,Dave Clark Five,I Like It Like That,1965
1746,2.0,Andy Gibb,I Just Want To Be Your Everything,1977
1747,3.0,Emotions,Best Of My Love,1977
1748,4.0,Barbra Streisand,Love Theme From “A Star Is Born”,1977
1749,5.0,Hot,Angel In Your Arms,1977
1750,6.0,Kenny Nolan,I Like Dreamin’,1977
1751,7.0,Thelma Houston,Don’t Leave Me This Way,1977
1752,8.0,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher,1977
1753,56.0,Post Malone Featuring 21 Savage,Rockstar,2017
1754,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1755,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1756,95.0,Paul Revere and The Raiders,"Mr. Sun, Mr. Moon",1969
1757,96.0,Guess Who,Laughing,1969
1758,97.0,David Ruffin,My Whole World Ended (The Moment You Left Me),1969
1759,98.0,Box Tops,Soul Deep,1969
1760,99.0,B.J. Thomas,Hooked On A Feeling,1969
1761,100.0,Box Tops,Sweet Cream Ladies,1969
1762,73.0,Wilson Pickett,Funky Broadway,1967
1763,74.0,Monkees,Pleasant Valley Sunday,1967
1764,71.0,Dionne Warwick,Anyone Who Had A Heart,1964
1765,72.0,Al Martino,I Love You More And More Every Day,1964
1766,73.0,Roy Orbison,It’s Over,1964
1767,74.0,Four Seasons,Ronnie,1964
1768,75.0,Trashmen,Surfin’ Bird,1964
1769,76.0,Tams,What Kind Of Fool (Do You Think I Am),1964
1770,80.0,Shadows Of Knight,Gloria,1966
1771,81.0,Supremes,My World Is Empty Without You,1966
1772,82.0,Bob Dylan,Rainy Day Women #12 And 35,1966
1773,83.0,Sandpipers,Guantanamera,1966
1774,84.0,Wilson Pickett,"Land Of 1,000 Dances",1966
1775,85.0,Shades Of Blue,Oh How Happy,1966
1776,86.0,Peter and Gordon,Woman,1966
1777,87.0,Turtles,You Baby,1966
1778,88.0,Vogues,Five O’clock World,1966
1779,89.0,Los Bravos,Black Is Black,1966
1780,15.0,Doobie Brothers,Black Water,1975
1781,16.0,Sweet,Ballroom Blitz,1975
1782,17.0,B.J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song,1975
1783,18.0,Tony Orlando and Dawn,He Don’t Love You (Like I Love You),1975
1784,19.0,Janis Ian,At Seventeen,1975
1785,20.0,Average White Band,Pick Up The Pieces,1975
1786,21.0,Van McCoy and The Soul City Symphony,The Hustle,1975
1787,22.0,Labelle,Lady Marmalade,1975
1788,23.0,War,Why Can’t We Be Friends?,1975
1789,10.0,Robert John,Sad Eyes,1979
1790,11.0,Bee Gees,Too Much Heaven,1979
1791,12.0,Donna Summer,MacArthur Park,1979
1792,13.0,Dr. Hook,When You’re In Love With A Beautiful Woman,1979
1793,14.0,David Naughton,Makin’ It,1979
1794,13.0,John Travolta and Olivia Newton-John,You’re The One That I Want,1978
1795,14.0,Samantha Sang,Emotion,1978
1796,15.0,Eric Clapton,Lay Down Sally,1978
1797,16.0,Rolling Stones,Miss You,1978
1798,17.0,Billy Joel,Just The Way You Are,1978
1799,18.0,Wings,With A Little Luck,1978
1800,19.0,Yvonne Elliman,If I Can’t Have You,1978
1801,20.0,Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",1978
1802,17.0,Ferrante and Teicher,Exodus,1961
1803,18.0,Connie Francis,Where The Boys Are,1961
1804,19.0,Ray Charles,Hit The Road Jack,1961
1805,20.0,Sue Thompson,Sad Movies (Make Me Cry),1961
1806,21.0,Ernie K-Doe,Mother-In-Law,1961
1807,22.0,Dovells,Bristol Stomp,1961
1808,23.0,Ricky Nelson,Travelin’ Man,1961
1809,8.0,Sensations,Let Me In,1962
1810,9.0,Chubby Checker,The Twist,1962
1811,10.0,Shirelles,Soldier Boy,1962
1812,11.0,Bruce Channel,Hey! Baby,1962
1813,12.0,Dion,The Wanderer,1962
1814,13.0,Gene Chandler,Duke Of Earl,1962
1815,14.0,Freddy Cannon,Palisades Park,1962
1816,61.0,Brothers Johnson,I’ll Be Good To You,1976
1817,62.0,Captain and Tennille,Shop Around,1976
1818,63.0,Bay City Rollers,Saturday Night,1976
1819,64.0,Elton John,Island Girl,1976
1820,65.0,Staple Singers,Let’s Do It Again,1976
1821,66.0,Wings,Let ‘Em In,1976
1822,6.0,Brenda Lee,I’m Sorry,1960
1823,7.0,Elvis Presley,It’s Now Or Never,1960
1824,8.0,Jimmy Jones,Handy Man,1960
1825,9.0,Elvis Presley,Stuck On You,1960
1826,10.0,Chubby Checker,The Twist,1960
1827,11.0,Connie Francis,Everybody’s Somebody’s Fool,1960
1828,12.0,Bobby Rydell,Wild One,1960
1829,13.0,Brothers Four,Greenfields,1960
1830,7.0,Paul and Paula,Hey Paula,1963
1831,8.0,Little Stevie Wonder,Fingertips II,1963
1832,9.0,Village Stompers,Washington Square,1963
1833,10.0,Impressions,It’s All Right,1963
1834,11.0,Andy Williams,Can’t Get Used To Losing You,1963
1835,81.0,Bobby Goldsboro,Little Things,1965
1836,82.0,Peter and Gordon,True Love Ways,1965
1837,83.0,Four Tops,It’s The Same Old Song,1965
1838,84.0,Fortunes,You’ve Got Your Troubles,1965
1839,85.0,Joe Tex,Hold What You’ve Got,1965
1840,86.0,Animals,We Gotta Get Out Of This Place,1965
1841,9.0,Alan O’Day,Undercover Angel,1977
1842,10.0,Mary MacGregor,Torn Between Two Lovers,1977
1843,11.0,K.C. and The Sunshine Band,I’m Your Boogie Man,1977
1844,12.0,ABBA,Dancing Queen,1977
1845,13.0,Leo Sayer,You Make Me Feel Like Dancing,1977
1846,14.0,Jimmy Buffett,Margaritaville,1977
1847,15.0,Electric Light Orchestra,Telephone Line,1977
1848,16.0,Pablo Cruise,Whatcha Gonna Do?,1977
1849,17.0,Peter McCann,Do You Wanna Make Love,1977
1850,57.0,Brett Young,In Case You Didn’t Know,2017
1851,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1852,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1853,75.0,Aretha Franklin,I Never Loved A Man (The Way I Love You),1967
1854,76.0,Aaron Neville,Tell It Like It Is,1967
1855,77.0,James Brown and The Famous Flames,Cold Sweat,1967
1856,78.0,Turtles,She’d Rather Be With Me,1967
1857,79.0,Keith,98.6,1967
1858,80.0,Ray Charles,Here We Go Again,1967
1859,77.0,Dean Martin,The Door Is Still Open To My Heart,1964
1860,78.0,Kinks,You Really Got Me,1964
1861,79.0,Sammy Davis Jr.,The Shelter Of Your Arms,1964
1862,80.0,Impressions,I’m So Proud,1964
1863,81.0,Jelly Beans,I Wanna Love Him So Bad,1964
1864,82.0,Roger Miller,Chug-a-lug,1964
1865,83.0,Roger Miller,Dang Me,1964
1866,84.0,Al Hirt,Cotton Candy,1964
1867,90.0,Beatles,Nowhere Man,1966
1868,91.0,Herman’s Hermits,Dandy,1966
1869,92.0,Slim Harpo,Baby Scratch My Back,1966
1870,93.0,Gary Lewis and The Playboys,She’s Just My Style,1966
1871,94.0,Chris Montez,The More I See You,1966
1872,95.0,Bobby Fuller Four,I Fought The Law,1966
1873,96.0,Beatles,Yellow Submarine,1966
1874,97.0,Paul Revere and The Raiders,Hungry,1966
1875,24.0,Major Harris,Love Wont Let Me Wait,1975
1876,25.0,Stevie Wonder,Boogie On Reggae Woman,1975
1877,26.0,Freddy Fender,Wasted Days And Wasted Nights,1975
1878,27.0,Isley Brothers,"Fight The Power, Pt. 1",1975
1879,28.0,Helen Reddy,Angie Baby,1975
1880,29.0,Ozark Mountain Daredevil,Jackie Blue,1975
1881,15.0,Pointer Sisters,Fire,1979
1882,16.0,Bee Gees,Tragedy,1979
1883,17.0,Olivia Newton-John,A Little More Love,1979
1884,18.0,Blondie,Heart Of Glass,1979
1885,19.0,Doobie Brothers,What A Fool Believes,1979
1886,20.0,Chic,Good Times,1979
1887,1.0,Bangles,Walk Like An Egyptian,1987
1888,2.0,Heart,Alone,1987
1889,3.0,Gregory Abbott,Shake You Down,1987
1890,21.0,Chuck Mangione,Feels So Good,1978
1891,22.0,Nick Gilder,Hot Child In The City,1978
1892,23.0,Sweet,Love Is Like Oxygen,1978
1893,24.0,Bonnie Tyler,It’s A Heartache,1978
1894,25.0,Queen,We Will Rock You / We Are The Champions,1978
1895,26.0,Gerry Rafferty,Baker Street,1978
1896,27.0,Barry Manilow,Can’t Smile Without You,1978
1897,28.0,Johnny Mathis and Deniece Williams,"Too Much, Too Little, Too Late",1978
1898,24.0,Miracles,Shop Around,1961
1899,25.0,Brook Benton,The Boll Weevil Song,1961
1900,26.0,Gene Mcdaniels,A Hundred Pounds Of Clay,1961
1901,15.0,Neil Sedaka,Breaking Up Is Hard To Do,1962
1902,16.0,Claude King,Wolverton Mountain,1962
1903,17.0,Chubby Checker,Slow Twistin’,1962
1904,18.0,Johnny Tillotson,It Keeps Right On A-hurtin’,1962
1905,19.0,Mary Wells,The One Who Really Loves You,1962
1906,20.0,Elvis Presley,Good Luck Charm,1962
1907,67.0,Wing and A Prayer Fife and Drum Corps,Baby Face,1976
1908,68.0,George Benson,This Masquerade,1976
1909,69.0,Electric Light Orchestra,Evil Woman,1976
1910,70.0,Silver,Wham Bam,1976
1911,71.0,Keith Carradine,I’m Easy,1976
1912,72.0,Harold Melvin and The Bluenotes,Wake Up Everybody (Pt. 1),1976
1913,73.0,War,Summer,1976
1914,74.0,John Travolta,Let Her In,1976
1915,14.0,Jack Scott,What In The World’s Come Over You,1960
1916,15.0,Marty Robbins,El Paso,1960
1917,16.0,Hollywood Argyles,Alley-oop,1960
1918,17.0,Connie Francis,My Heart Has A Mind Of Its Own,1960
1919,18.0,Brenda Lee,Sweet Nothin’s,1960
1920,12.0,Angels,My Boyfriend’s Back,1963
1921,13.0,Kyu Sakamoto,Sukiyaki,1963
1922,14.0,Lesley Gore,She’s A Fool,1963
1923,15.0,Tymes,So Much In Love,1963
1924,16.0,"Peter, Paul and Mary",Puff (The Magic Dragon),1963
1925,87.0,Beau Brummels,"Laugh, Laugh",1965
1926,88.0,Rolling Stones,The Last Time,1965
1927,89.0,Lovin’ Spoonful,Do You Believe In Magic,1965
1928,90.0,Cher,All I Really Want To Do,1965
1929,91.0,Little Anthony and The Imperials,Take Me Back,1965
1930,92.0,Strangeloves,I Want Candy,1965
1931,93.0,Miracles,Ooo Baby Baby,1965
1932,94.0,Sonny,Laugh At Me,1965
1933,18.0,Stevie Wonder,Sir Duke,1977
1934,19.0,Eagles,Hotel California,1977
1935,20.0,Marvin Gaye,"Got To Give It Up, Pt. 1",1977
1936,21.0,Bill Conti,Theme From “Rocky” (Gonna Fly Now),1977
1937,22.0,Glen Campbell,Southern Nights,1977
1938,23.0,Daryl Hall and John Oates,Rich Girl,1977
1939,24.0,Leo Sayer,When I Need You,1977
1940,58.0,twenty one pilots,Heathens,2017
1941,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1942,1.0,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
1943,81.0,Jefferson Airplane,White Rabbit,1967
1944,82.0,Four Tops,Bernadette,1967
1945,83.0,Sonny and Cher,The Beat Goes On,1967
1946,84.0,Royal Guardsmen,Snoopy Vs. The Red Baron,1967
1947,85.0,Janis Ian,Society’s Child,1967
1948,86.0,Neil Diamond,"Girl, You’ll Be A Woman Soon",1967
1949,87.0,Marvin Gaye and Tammi Terrell,Ain’t No Mountain High Enough,1967
1950,85.0,Nancy Wilson,(You Don’t Know) How Glad I Am,1964
1951,86.0,Kingsmen,Money,1964
1952,87.0,Searchers,Don’t Throw Your Love Away,1964
1953,88.0,Tommy Tucker,Hi-heel Sneakers,1964
1954,89.0,Gerry and The Pacemakers,How Do You Do It!,1964
1955,90.0,The Ventures,Walk Don’t Run,1964
1956,98.0,Herb Alpert and The Tijuana Brass,Zorba The Greek,1966
1957,99.0,Yardbirds,Shapes Of Things,1966
1958,100.0,Wilson Pickett,634-5789,1966
1959,30.0,Ohio Players,Fire,1975
1960,31.0,Pilot,Magic,1975
1961,32.0,Carpenters,Please Mr. Postman,1975
1962,33.0,America,Sister Golden Hair,1975
1963,34.0,Elton John,Lucy In The Sky With Diamonds,1975
1964,21.0,Barbra Streisand and Neil Diamond,You Don’t Bring Me Flowers,1979
1965,22.0,Amii Stewart,Knock On Wood,1979
1966,23.0,Suzi Quatro and Chris Norman,Stumblin’ In,1979
1967,24.0,Maxine Nightingale,Lead Me On,1979
1968,25.0,Jacksons,Shake Your Body,1979
1969,26.0,Melissa Manchester,Don’t Cry Out Loud,1979
1970,4.0,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987
1971,5.0,Starship,Nothing’s Gonna Stop Us Now,1987
1972,6.0,Robbie Nevil,C’est La Vie,1987
1973,7.0,Whitesnake,Here I Go Again,1987
1974,8.0,Bruce Hornsby and The Range,The Way It Is,1987
1975,9.0,Bob Seger,Shakedown,1987
1976,10.0,Bon Jovi,Livin’ On A Prayer,1987
1977,11.0,Los Lobos,La Bamba,1987
1978,12.0,Wang Chung,Everybody Have Fun Tonight,1987
1979,29.0,Peter Brown,Dance With Me,1978
1980,30.0,Meat Loaf,Two Out Of Three Ain’t Bad,1978
1981,31.0,Raydio,Jack And Jill,1978
1982,32.0,ABBA,Take A Chance On Me,1978
1983,1.0,Barbra Streisand,The Way We Were,1974
1984,2.0,Terry Jacks,Seasons In The Sun,1974
1985,3.0,Love Unlimited Orchestra,Love’s Theme,1974
1986,27.0,Dick and Deedee,The Mountain’s High,1961
1987,28.0,Marty Robbins,Don’t Worry,1961
1988,29.0,Floyd Cramer,On The Rebound,1961
1989,30.0,Steve Lawrence,Portrait Op My Love,1961
1990,31.0,Gary,Quarter To Three,1961
1991,32.0,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961
1992,33.0,Neil Sedaka,Calendar Girl,1961
1993,34.0,Chris Kenner,I Like It Like That,1961
1994,35.0,Jørgen Ingmann,Apache,1961
1995,21.0,Kenny Ball,Midnight In Moscow,1962
1996,22.0,Tommy Roe,Sheila,1962
1997,23.0,Sam Cooke,Twistin’ The Night Away,1962
1998,24.0,Orlons,Wah-Watusi,1962
1999,75.0,Sweet,Fox On The Run,1976
2000,76.0,Fleetwood Mac,Rhiannon (Will You Ever Win),1976
2001,77.0,Beatles,Got To Get You Into My Life,1976
2002,78.0,Bee Gees,Fanny (Be Tender With My Love),1976
2003,79.0,"Earth, Wind and Fire",Getaway,1976
2004,80.0,Daryl Hall and John Oates,She’s Gone,1976
2005,81.0,Beach Boys,Rock And Roll Music,1976
2006,19.0,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960
2007,20.0,Roy Orbison,Only The Lonely,1960
2008,21.0,Dion and The Belmonts,Where Or When,1960
2009,22.0,Connie Stevens,Sixteen Reasons,1960
2010,23.0,Paul Anka,Puppy Love,1960
2011,24.0,Frankie Avalon,Why,1960
2012,25.0,Ventures,"Walk, Dont Run",1960
2013,26.0,Drifters,Save The Last Dance For Me,1960
2014,27.0,Brook Benton and Dinah Washington,Baby (You Got What It Takes),1960
2015,28.0,Johnny Horton,Sink The Bismark,1960
2016,17.0,"Peter, Paul and Mary",Blowin’ In The Wind,1963
2017,18.0,Dale and Grace,I’m Leaving It Up To You,1963
