,sp_name,sp_artist,sp_url,year,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
64,I Only Have Eyes for You,The Flamingos,https://open.spotify.com/track/3YdKJzcoMZMacISlpY4QoP,1959,0.916,https://api.spotify.com/v1/audio-analysis/3YdKJzcoMZMacISlpY4QoP,0.552,202773,0.313,3YdKJzcoMZMacISlpY4QoP,0.0017,5,0.12,-12.41,1,0.0296,88.554,3,https://api.spotify.com/v1/tracks/3YdKJzcoMZMacISlpY4QoP,audio_features,spotify:track:3YdKJzcoMZMacISlpY4QoP,0.303
65,It's Late,Ricky Nelson,https://open.spotify.com/track/5fWoxLPLPaJUy3Iostzl1C,1959,0.79,https://api.spotify.com/v1/audio-analysis/5fWoxLPLPaJUy3Iostzl1C,0.6,119667,0.795,5fWoxLPLPaJUy3Iostzl1C,0,8,0.0949,-8.077,1,0.0629,82.872,4,https://api.spotify.com/v1/tracks/5fWoxLPLPaJUy3Iostzl1C,audio_features,spotify:track:5fWoxLPLPaJUy3Iostzl1C,0.898
66,Petite Fleur,Chris Barber's Jazz Band,https://open.spotify.com/track/5IOrscHhyyr2LqbKu8wEXb,1959,0.946,https://api.spotify.com/v1/audio-analysis/5IOrscHhyyr2LqbKu8wEXb,0.712,163077,0.165,5IOrscHhyyr2LqbKu8wEXb,0.753,8,0.115,-12.996,0,0.036,112.342,4,https://api.spotify.com/v1/tracks/5IOrscHhyyr2LqbKu8wEXb,audio_features,spotify:track:5IOrscHhyyr2LqbKu8wEXb,0.47
67,Tall Paul,Annette Funicello,https://open.spotify.com/track/7oJujJSTfOKP1Gw95dK3Sy,1959,0.676,https://api.spotify.com/v1/audio-analysis/7oJujJSTfOKP1Gw95dK3Sy,0.382,97080,0.543,7oJujJSTfOKP1Gw95dK3Sy,4.94e-05,3,0.31,-9.582,1,0.0442,202.42,4,https://api.spotify.com/v1/tracks/7oJujJSTfOKP1Gw95dK3Sy,audio_features,spotify:track:7oJujJSTfOKP1Gw95dK3Sy,0.961
68,The Tijuana Jail - 1990 Digital Remaster,The Kingston Trio,https://open.spotify.com/track/4adwiDSem8c2jgiy66Bcsv,1959,0.795,https://api.spotify.com/v1/audio-analysis/4adwiDSem8c2jgiy66Bcsv,0.451,170907,0.263,4adwiDSem8c2jgiy66Bcsv,0,7,0.108,-13.567,1,0.0313,155.891,4,https://api.spotify.com/v1/tracks/4adwiDSem8c2jgiy66Bcsv,audio_features,spotify:track:4adwiDSem8c2jgiy66Bcsv,0.62
69,Just A Little Too Much - Remastered,Ricky Nelson,https://open.spotify.com/track/5mIfY39eTpWHj2gpEXvjb6,1959,0.673,https://api.spotify.com/v1/audio-analysis/5mIfY39eTpWHj2gpEXvjb6,0.705,131800,0.736,5mIfY39eTpWHj2gpEXvjb6,2.55e-06,8,0.251,-11.635,1,0.0339,91.634,4,https://api.spotify.com/v1/tracks/5mIfY39eTpWHj2gpEXvjb6,audio_features,spotify:track:5mIfY39eTpWHj2gpEXvjb6,0.968
70,Goodbye Baby,Jack Scott,https://open.spotify.com/track/16HL6HBaqUhWBaxcHMrZEF,1959,0.91,https://api.spotify.com/v1/audio-analysis/16HL6HBaqUhWBaxcHMrZEF,0.694,129333,0.547,16HL6HBaqUhWBaxcHMrZEF,0.0555,9,0.0996,-12.623,1,0.0291,130.222,4,https://api.spotify.com/v1/tracks/16HL6HBaqUhWBaxcHMrZEF,audio_features,spotify:track:16HL6HBaqUhWBaxcHMrZEF,0.764
71,Along Came Jones,The Coasters,https://open.spotify.com/track/4RPiAR1m2eglvjWMHHFu1Y,1959,0.504,https://api.spotify.com/v1/audio-analysis/4RPiAR1m2eglvjWMHHFu1Y,0.771,178053,0.758,4RPiAR1m2eglvjWMHHFu1Y,0,9,0.109,-6.013,1,0.3,104.684,4,https://api.spotify.com/v1/tracks/4RPiAR1m2eglvjWMHHFu1Y,audio_features,spotify:track:4RPiAR1m2eglvjWMHHFu1Y,0.758
72,A Boy Without a Girl,Frankie Avalon,https://open.spotify.com/track/0CUsZyJMSDjhdoQZxHhTtx,1959,0.749,https://api.spotify.com/v1/audio-analysis/0CUsZyJMSDjhdoQZxHhTtx,0.474,117093,0.22,0CUsZyJMSDjhdoQZxHhTtx,6.08e-06,4,0.154,-14.031,1,0.0262,98.988,3,https://api.spotify.com/v1/tracks/0CUsZyJMSDjhdoQZxHhTtx,audio_features,spotify:track:0CUsZyJMSDjhdoQZxHhTtx,0.361
73,Sweeter Than You,Ricky Nelson,https://open.spotify.com/track/4si2ZU8jVZWTuoUvkujcmw,1959,0.845,https://api.spotify.com/v1/audio-analysis/4si2ZU8jVZWTuoUvkujcmw,0.403,140760,0.125,4si2ZU8jVZWTuoUvkujcmw,1.37e-06,10,0.126,-12.067,1,0.0306,74.308,4,https://api.spotify.com/v1/tracks/4si2ZU8jVZWTuoUvkujcmw,audio_features,spotify:track:4si2ZU8jVZWTuoUvkujcmw,0.274
74,It Was I,Skip & Flip,https://open.spotify.com/track/1QJR1uYpBNVlCDS7NjpgUR,1959,0.757,https://api.spotify.com/v1/audio-analysis/1QJR1uYpBNVlCDS7NjpgUR,0.683,142420,0.939,1QJR1uYpBNVlCDS7NjpgUR,0,6,0.107,-9.546,1,0.0439,112.923,4,https://api.spotify.com/v1/tracks/1QJR1uYpBNVlCDS7NjpgUR,audio_features,spotify:track:1QJR1uYpBNVlCDS7NjpgUR,0.956
75,"Goodbye Jimmy, Goodbye",Kathy Linden,https://open.spotify.com/track/6HuqSvbR87hXHx8OfZuPPn,1959,0.89,https://api.spotify.com/v1/audio-analysis/6HuqSvbR87hXHx8OfZuPPn,0.4,156573,0.282,6HuqSvbR87hXHx8OfZuPPn,0,10,0.116,-10.418,1,0.0323,113.904,3,https://api.spotify.com/v1/tracks/6HuqSvbR87hXHx8OfZuPPn,audio_features,spotify:track:6HuqSvbR87hXHx8OfZuPPn,0.252
76,Endlessly,Brook Benton,https://open.spotify.com/track/5QiWvZvXVb9aF7XdtZxI1b,1959,0.333,https://api.spotify.com/v1/audio-analysis/5QiWvZvXVb9aF7XdtZxI1b,0.524,142333,0.33,5QiWvZvXVb9aF7XdtZxI1b,0,5,0.0706,-16.497,1,0.0344,133.181,4,https://api.spotify.com/v1/tracks/5QiWvZvXVb9aF7XdtZxI1b,audio_features,spotify:track:5QiWvZvXVb9aF7XdtZxI1b,0.813
77,Heartaches by the Numbers - Rerecorded,Guy Mitchell,https://open.spotify.com/track/1KcSPQqbbbBCFyAVmJySst,1959,0.481,https://api.spotify.com/v1/audio-analysis/1KcSPQqbbbBCFyAVmJySst,0.614,151720,0.562,1KcSPQqbbbBCFyAVmJySst,4.6e-06,5,0.12,-11.999,1,0.0815,171.677,4,https://api.spotify.com/v1/tracks/1KcSPQqbbbBCFyAVmJySst,audio_features,spotify:track:1KcSPQqbbbBCFyAVmJySst,0.815
78,Sea Cruise,Frankie Ford,https://open.spotify.com/track/3rs1ferv5DqJXU2Y1lzd50,1959,0.181,https://api.spotify.com/v1/audio-analysis/3rs1ferv5DqJXU2Y1lzd50,0.545,158600,0.662,3rs1ferv5DqJXU2Y1lzd50,0.000503,1,0.086,-10.294,1,0.127,167.026,4,https://api.spotify.com/v1/tracks/3rs1ferv5DqJXU2Y1lzd50,audio_features,spotify:track:3rs1ferv5DqJXU2Y1lzd50,0.676
79,That's Why (I Love You So),Jackie Wilson,https://open.spotify.com/track/3f2dCpOap3vfqebOyVPHIs,1959,0.673,https://api.spotify.com/v1/audio-analysis/3f2dCpOap3vfqebOyVPHIs,0.72,126227,0.803,3f2dCpOap3vfqebOyVPHIs,0,5,0.362,-8.443,1,0.0868,146.618,4,https://api.spotify.com/v1/tracks/3f2dCpOap3vfqebOyVPHIs,audio_features,spotify:track:3f2dCpOap3vfqebOyVPHIs,0.961
80,Kissin' Time,Bobby Rydell,https://open.spotify.com/track/21ZVvnP0MY0EbrOovH0tUp,1959,0.183,https://api.spotify.com/v1/audio-analysis/21ZVvnP0MY0EbrOovH0tUp,0.64,132373,0.92,21ZVvnP0MY0EbrOovH0tUp,8.07e-06,0,0.283,-5.51,0,0.0682,94.975,4,https://api.spotify.com/v1/tracks/21ZVvnP0MY0EbrOovH0tUp,audio_features,spotify:track:21ZVvnP0MY0EbrOovH0tUp,0.93
81,My Wish Came True,Elvis Presley,https://open.spotify.com/track/543SzJd0OFYwTU6AucokHq,1959,0.958,https://api.spotify.com/v1/audio-analysis/543SzJd0OFYwTU6AucokHq,0.254,154640,0.177,543SzJd0OFYwTU6AucokHq,1.49e-05,2,0.347,-11.765,1,0.0345,74.586,4,https://api.spotify.com/v1/tracks/543SzJd0OFYwTU6AucokHq,audio_features,spotify:track:543SzJd0OFYwTU6AucokHq,0.241
82,Morgen,Ivo Robic,https://open.spotify.com/track/3QyqMDxo8zUW5yYIQhcDX7,1959,0.892,https://api.spotify.com/v1/audio-analysis/3QyqMDxo8zUW5yYIQhcDX7,0.579,157400,0.432,3QyqMDxo8zUW5yYIQhcDX7,9.22e-05,10,0.0732,-6.67,1,0.0274,99.716,4,https://api.spotify.com/v1/tracks/3QyqMDxo8zUW5yYIQhcDX7,audio_features,spotify:track:3QyqMDxo8zUW5yYIQhcDX7,0.662
83,Baby Talk,Jan & Dean,https://open.spotify.com/track/2aBNUHJEIZhNePKpCEBAW0,1959,0.786,https://api.spotify.com/v1/audio-analysis/2aBNUHJEIZhNePKpCEBAW0,0.496,145800,0.463,2aBNUHJEIZhNePKpCEBAW0,0,11,0.306,-14.526,0,0.0283,104.863,4,https://api.spotify.com/v1/tracks/2aBNUHJEIZhNePKpCEBAW0,audio_features,spotify:track:2aBNUHJEIZhNePKpCEBAW0,0.566
84,Bongo Rock,Preston Epps,https://open.spotify.com/track/0DpjGs3EbsI1TKiYSSeTRF,1959,0.557,https://api.spotify.com/v1/audio-analysis/0DpjGs3EbsI1TKiYSSeTRF,0.347,126321,0.995,0DpjGs3EbsI1TKiYSSeTRF,0.839,4,0.276,-9.049,1,0.0712,169.043,4,https://api.spotify.com/v1/tracks/0DpjGs3EbsI1TKiYSSeTRF,audio_features,spotify:track:0DpjGs3EbsI1TKiYSSeTRF,0.591
85,Take A Message To Mary,The Everly Brothers,https://open.spotify.com/track/4w63lCZc725Oad6idtOLtO,1959,0.255,https://api.spotify.com/v1/audio-analysis/4w63lCZc725Oad6idtOLtO,0.745,150067,0.174,4w63lCZc725Oad6idtOLtO,0,4,0.141,-18.106,1,0.0525,118.292,4,https://api.spotify.com/v1/tracks/4w63lCZc725Oad6idtOLtO,audio_features,spotify:track:4w63lCZc725Oad6idtOLtO,0.305
86,Battle Hymn of the Republic,Mormon Tabernacle Choir,https://open.spotify.com/track/4X2oOZAf7Rv6PatkhdXefD,1959,0.871,https://api.spotify.com/v1/audio-analysis/4X2oOZAf7Rv6PatkhdXefD,0.354,278267,0.402,4X2oOZAf7Rv6PatkhdXefD,4.23e-05,10,0.353,-12.138,1,0.0532,108.67,4,https://api.spotify.com/v1/tracks/4X2oOZAf7Rv6PatkhdXefD,audio_features,spotify:track:4X2oOZAf7Rv6PatkhdXefD,0.176
87,In the Mood,Ernie Fields Orchestra,https://open.spotify.com/track/5zCGngps4WZhwlqtrRBQc2,1959,0.586,https://api.spotify.com/v1/audio-analysis/5zCGngps4WZhwlqtrRBQc2,0.442,166107,0.806,5zCGngps4WZhwlqtrRBQc2,0.977,1,0.328,-14.06,1,0.0348,162.417,4,https://api.spotify.com/v1/tracks/5zCGngps4WZhwlqtrRBQc2,audio_features,spotify:track:5zCGngps4WZhwlqtrRBQc2,0.974
