,sp_name,sp_artist,sp_url,year,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Uptown Funk,Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,2015,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,4,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928
1,Thinking out Loud,Ed Sheeran,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,2015,0.474,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,0.781,281560,0.445,34gCuhDGsG4bRPIf9bb02f,0.0,2,0.184,-6.061,1,0.0295,78.998,4,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,audio_features,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.591
2,See You Again (feat. Charlie Puth),Wiz Khalifa,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc,2015,0.369,https://api.spotify.com/v1/audio-analysis/2JzZzZUQj3Qff7wapcbKjc,0.689,229526,0.481,2JzZzZUQj3Qff7wapcbKjc,1.03e-06,10,0.0649,-7.503,1,0.0815,80.025,4,https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc,audio_features,spotify:track:2JzZzZUQj3Qff7wapcbKjc,0.283
3,Trap Queen,Fetty Wap,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ,2015,0.0244,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,0.746,222093,0.873,2d8JP84HNLKhmd6IYOoupQ,0.0,7,0.354,-3.803,1,0.128,148.075,4,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,audio_features,spotify:track:2d8JP84HNLKhmd6IYOoupQ,0.817
4,Sugar,Maroon 5,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk,2015,0.0591,https://api.spotify.com/v1/audio-analysis/2iuZJX9X9P0GKaE93xcPjk,0.748,235493,0.788,2iuZJX9X9P0GKaE93xcPjk,0.0,1,0.0863,-7.055,1,0.0334,120.076,4,https://api.spotify.com/v1/tracks/2iuZJX9X9P0GKaE93xcPjk,audio_features,spotify:track:2iuZJX9X9P0GKaE93xcPjk,0.884
5,Shut Up and Dance,WALK THE MOON,https://open.spotify.com/track/0kzw2tRyuL9rzipi5ntlIy,2015,0.00701,https://api.spotify.com/v1/audio-analysis/0kzw2tRyuL9rzipi5ntlIy,0.578,199080,0.866,0kzw2tRyuL9rzipi5ntlIy,0.0,1,0.257,-3.804,1,0.0619,128.038,4,https://api.spotify.com/v1/tracks/0kzw2tRyuL9rzipi5ntlIy,audio_features,spotify:track:0kzw2tRyuL9rzipi5ntlIy,0.619
6,Blank Space,Taylor Swift,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky,2015,0.085,https://api.spotify.com/v1/audio-analysis/1p80LdxRV74UKvL8gnD7ky,0.752,231827,0.678,1p80LdxRV74UKvL8gnD7ky,1.64e-06,5,0.13,-5.421,1,0.0646,96.009,4,https://api.spotify.com/v1/tracks/1p80LdxRV74UKvL8gnD7ky,audio_features,spotify:track:1p80LdxRV74UKvL8gnD7ky,0.583
7,Watch Me (Whip / Nae Nae),Silentó,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr,2015,0.247,https://api.spotify.com/v1/audio-analysis/5RIVoVdkDLEygELLCniZFr,0.821,185143,0.759,5RIVoVdkDLEygELLCniZFr,0.0,8,0.321,-8.541,1,0.121,140.01,4,https://api.spotify.com/v1/tracks/5RIVoVdkDLEygELLCniZFr,audio_features,spotify:track:5RIVoVdkDLEygELLCniZFr,0.962
8,Earned It (Fifty Shades Of Grey),The Weeknd,https://open.spotify.com/track/4frLb7nWtsz2ymBE6k2GRP,2015,0.408,https://api.spotify.com/v1/audio-analysis/4frLb7nWtsz2ymBE6k2GRP,0.647,277680,0.291,4frLb7nWtsz2ymBE6k2GRP,0.0,2,0.0771,-8.275,0,0.0363,119.839,3,https://api.spotify.com/v1/tracks/4frLb7nWtsz2ymBE6k2GRP,audio_features,spotify:track:4frLb7nWtsz2ymBE6k2GRP,0.4
9,The Hills,The Weeknd,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,2015,0.0671,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,0.58,242253,0.565,7fBv7CLKzipRk6EC6TWHOB,0.0,0,0.135,-7.065,0,0.0488,112.986,4,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,audio_features,spotify:track:7fBv7CLKzipRk6EC6TWHOB,0.138
