,sp_name,sp_artist,sp_url,year,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2196,Lovers Who Wander,Dion,https://open.spotify.com/track/3ApktgPHkNDBWaZCWvOKjK,1962,0.54,https://api.spotify.com/v1/audio-analysis/3ApktgPHkNDBWaZCWvOKjK,0.51,151467,0.382,3ApktgPHkNDBWaZCWvOKjK,0.0,0,0.122,-13.637,1,0.0613,111.63,1,https://api.spotify.com/v1/tracks/3ApktgPHkNDBWaZCWvOKjK,audio_features,spotify:track:3ApktgPHkNDBWaZCWvOKjK,0.821
2197,Let's Dance,Chris Montez,https://open.spotify.com/track/2Qm5DrmotzWvqNM3JlcQYo,1962,0.212,https://api.spotify.com/v1/audio-analysis/2Qm5DrmotzWvqNM3JlcQYo,0.751,149627,0.83,2Qm5DrmotzWvqNM3JlcQYo,7.94e-06,1,0.0584,-6.215,1,0.0951,76.489,4,https://api.spotify.com/v1/tracks/2Qm5DrmotzWvqNM3JlcQYo,audio_features,spotify:track:2Qm5DrmotzWvqNM3JlcQYo,0.935
2198,Down By the Station,The Four Preps,https://open.spotify.com/track/3kpuidZaDOsLP3YgFi8sxu,1960,0.324,https://api.spotify.com/v1/audio-analysis/3kpuidZaDOsLP3YgFi8sxu,0.754,172067,0.442,3kpuidZaDOsLP3YgFi8sxu,0.0,3,0.0634,-15.178,1,0.0403,118.641,4,https://api.spotify.com/v1/tracks/3kpuidZaDOsLP3YgFi8sxu,audio_features,spotify:track:3kpuidZaDOsLP3YgFi8sxu,0.971
2199,Forever - Single Version,The Little Dippers,https://open.spotify.com/track/5rWyKJMaTXL0TArnJ8IGts,1960,0.281,https://api.spotify.com/v1/audio-analysis/5rWyKJMaTXL0TArnJ8IGts,0.519,143161,0.45,5rWyKJMaTXL0TArnJ8IGts,6.12e-06,5,0.152,-9.133,1,0.0244,72.115,4,https://api.spotify.com/v1/tracks/5rWyKJMaTXL0TArnJ8IGts,audio_features,spotify:track:5rWyKJMaTXL0TArnJ8IGts,0.549
2200,Kiddio - Rerecorded,Brook Benton,https://open.spotify.com/track/7l9RNVHHVgG7mMqnRoEcjL,1960,0.837,https://api.spotify.com/v1/audio-analysis/7l9RNVHHVgG7mMqnRoEcjL,0.778,152307,0.29,7l9RNVHHVgG7mMqnRoEcjL,0.000523,3,0.21,-12.873,1,0.0625,112.048,4,https://api.spotify.com/v1/tracks/7l9RNVHHVgG7mMqnRoEcjL,audio_features,spotify:track:7l9RNVHHVgG7mMqnRoEcjL,0.767
2201,Mission Bell,Donnie Brooks,https://open.spotify.com/track/12zEAgwHjIQRYNiAAH5UiZ,1960,0.844,https://api.spotify.com/v1/audio-analysis/12zEAgwHjIQRYNiAAH5UiZ,0.572,143960,0.418,12zEAgwHjIQRYNiAAH5UiZ,0.283,2,0.222,-12.757,1,0.0528,81.481,4,https://api.spotify.com/v1/tracks/12zEAgwHjIQRYNiAAH5UiZ,audio_features,spotify:track:12zEAgwHjIQRYNiAAH5UiZ,0.592
2202,I Love The Way You Love,Marv Johnson,https://open.spotify.com/track/4AtIVBQQbBgeyIzazKhfIy,1960,0.378,https://api.spotify.com/v1/audio-analysis/4AtIVBQQbBgeyIzazKhfIy,0.716,159893,0.828,4AtIVBQQbBgeyIzazKhfIy,0.0,9,0.115,-6.236,1,0.0898,134.703,4,https://api.spotify.com/v1/tracks/4AtIVBQQbBgeyIzazKhfIy,audio_features,spotify:track:4AtIVBQQbBgeyIzazKhfIy,0.863
2203,It's Time To Cry,Paul Anka,https://open.spotify.com/track/6dAqyQn8GS2RYRqyP5eKTp,1960,0.731,https://api.spotify.com/v1/audio-analysis/6dAqyQn8GS2RYRqyP5eKTp,0.311,145467,0.314,6dAqyQn8GS2RYRqyP5eKTp,0.0,3,0.335,-12.81,1,0.0325,109.983,3,https://api.spotify.com/v1/tracks/6dAqyQn8GS2RYRqyP5eKTp,audio_features,spotify:track:6dAqyQn8GS2RYRqyP5eKTp,0.565
2204,Days Of Wine And Roses - REMASTERED,Henry Mancini,https://open.spotify.com/track/2sWRC12vYVTHjdTD2WOE4v,1963,0.852,https://api.spotify.com/v1/audio-analysis/2sWRC12vYVTHjdTD2WOE4v,0.246,126549,0.171,2sWRC12vYVTHjdTD2WOE4v,0.0,7,0.195,-14.435,0,0.0298,81.235,4,https://api.spotify.com/v1/tracks/2sWRC12vYVTHjdTD2WOE4v,audio_features,spotify:track:2sWRC12vYVTHjdTD2WOE4v,0.205
2205,The Monkey Time,Major Lance,https://open.spotify.com/track/4xEogH4ggdbZnGtJqnJm1Q,1963,0.579,https://api.spotify.com/v1/audio-analysis/4xEogH4ggdbZnGtJqnJm1Q,0.798,166467,0.676,4xEogH4ggdbZnGtJqnJm1Q,0.0,5,0.114,-8.707,1,0.0487,123.269,4,https://api.spotify.com/v1/tracks/4xEogH4ggdbZnGtJqnJm1Q,audio_features,spotify:track:4xEogH4ggdbZnGtJqnJm1Q,0.939
